id_experimento,conjunto_experimento,prompt_variant,tokens_config,n_vizinhos,iteracoes,modelo_executado,status,process_id,hora_inicio,hora_fim,modelo,num_vizinhos,num_iteracoes,temperaturas,variante_prompt,notas,caminho_csv_saida,caminho_log_saida,caminho_log_prompt_saida
1,tokens_kz_only_token_gemma27b_n7,v9_lista_completa_meio_kz,kz,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_kz,,,,
2,tokens_kz_cot_gemma27b_n7,v21_zero_shot_cot,kz,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot,,,,
3,tokens_ab_only_token_gemma27b_n7,v9_lista_completa_meio_ab,ab,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_ab,,,,
4,tokens_ab_cot_gemma27b_n7,v21_zero_shot_cot_ab,ab,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_ab,,,,
5,tokens_01_only_token_gemma27b_n7,v9_lista_completa_meio_01,01,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_01,,,,
6,tokens_01_cot_gemma27b_n7,v21_zero_shot_cot_01,01,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_01,,,,
7,tokens_greek_only_token_gemma27b_n7,v9_lista_completa_meio_αβ,αβ,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_αβ,,,,
8,tokens_greek_cot_gemma27b_n7,v21_zero_shot_cot_αβ,αβ,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_αβ,,,,
9,tokens_geom_only_token_gemma27b_n7,v9_lista_completa_meio_△○,△○,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_△○,,,,
10,tokens_geom_cot_gemma27b_n7,v21_zero_shot_cot_△○,△○,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_△○,,,,
11,tokens_math_only_token_gemma27b_n7,v9_lista_completa_meio_⊕⊖,⊕⊖,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_⊕⊖,,,,
12,tokens_math_cot_gemma27b_n7,v21_zero_shot_cot_⊕⊖,⊕⊖,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_⊕⊖,,,,
13,tokens_pq_only_token_gemma27b_n7,v9_lista_completa_meio_pq,pq,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_pq,,,,
14,tokens_pq_cot_gemma27b_n7,v21_zero_shot_cot_pq,pq,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_pq,,,,
15,tokens_latin_only_token_gemma27b_n7,v9_lista_completa_meio_łþ,łþ,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_łþ,,,,
16,tokens_latin_cot_gemma27b_n7,v21_zero_shot_cot_łþ,łþ,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_łþ,,,,
17,tokens_yesno_only_token_gemma27b_n7,v9_lista_completa_meio_yesno,yesno,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v9_lista_completa_meio_yesno,,,,
18,tokens_yesno_cot_gemma27b_n7,v21_zero_shot_cot_yesno,yesno,7,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,7,1,0.0,v21_zero_shot_cot_yesno,,,,
19,tokens_kz_only_token_gemma27b_n9,v9_lista_completa_meio_kz,kz,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v9_lista_completa_meio_kz,,,,
20,tokens_kz_cot_gemma27b_n9,v21_zero_shot_cot,kz,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v21_zero_shot_cot,,,,
21,tokens_ab_only_token_gemma27b_n9,v9_lista_completa_meio_ab,ab,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v9_lista_completa_meio_ab,,,,
22,tokens_ab_cot_gemma27b_n9,v21_zero_shot_cot_ab,ab,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v21_zero_shot_cot_ab,,,,
23,tokens_01_only_token_gemma27b_n9,v9_lista_completa_meio_01,01,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v9_lista_completa_meio_01,,,,
24,tokens_01_cot_gemma27b_n9,v21_zero_shot_cot_01,01,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v21_zero_shot_cot_01,,,,
25,tokens_greek_only_token_gemma27b_n9,v9_lista_completa_meio_αβ,αβ,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v9_lista_completa_meio_αβ,,,,
26,tokens_greek_cot_gemma27b_n9,v21_zero_shot_cot_αβ,αβ,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v21_zero_shot_cot_αβ,,,,
27,tokens_geom_only_token_gemma27b_n9,v9_lista_completa_meio_△○,△○,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v9_lista_completa_meio_△○,,,,
28,tokens_geom_cot_gemma27b_n9,v21_zero_shot_cot_△○,△○,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v21_zero_shot_cot_△○,,,,
29,tokens_math_only_token_gemma27b_n9,v9_lista_completa_meio_⊕⊖,⊕⊖,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v9_lista_completa_meio_⊕⊖,,,,
30,tokens_math_cot_gemma27b_n9,v21_zero_shot_cot_⊕⊖,⊕⊖,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v21_zero_shot_cot_⊕⊖,,,,
31,tokens_pq_only_token_gemma27b_n9,v9_lista_completa_meio_pq,pq,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v9_lista_completa_meio_pq,,,,
32,tokens_pq_cot_gemma27b_n9,v21_zero_shot_cot_pq,pq,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v21_zero_shot_cot_pq,,,,
33,tokens_latin_only_token_gemma27b_n9,v9_lista_completa_meio_łþ,łþ,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v9_lista_completa_meio_łþ,,,,
34,tokens_latin_cot_gemma27b_n9,v21_zero_shot_cot_łþ,łþ,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v21_zero_shot_cot_łþ,,,,
35,tokens_yesno_only_token_gemma27b_n9,v9_lista_completa_meio_yesno,yesno,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v9_lista_completa_meio_yesno,,,,
36,tokens_yesno_cot_gemma27b_n9,v21_zero_shot_cot_yesno,yesno,9,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,9,1,0.0,v21_zero_shot_cot_yesno,,,,
37,tokens_kz_only_token_gemma27b_n11,v9_lista_completa_meio_kz,kz,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v9_lista_completa_meio_kz,,,,
38,tokens_kz_cot_gemma27b_n11,v21_zero_shot_cot,kz,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v21_zero_shot_cot,,,,
39,tokens_ab_only_token_gemma27b_n11,v9_lista_completa_meio_ab,ab,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v9_lista_completa_meio_ab,,,,
40,tokens_ab_cot_gemma27b_n11,v21_zero_shot_cot_ab,ab,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v21_zero_shot_cot_ab,,,,
41,tokens_01_only_token_gemma27b_n11,v9_lista_completa_meio_01,01,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v9_lista_completa_meio_01,,,,
42,tokens_01_cot_gemma27b_n11,v21_zero_shot_cot_01,01,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v21_zero_shot_cot_01,,,,
43,tokens_greek_only_token_gemma27b_n11,v9_lista_completa_meio_αβ,αβ,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v9_lista_completa_meio_αβ,,,,
44,tokens_greek_cot_gemma27b_n11,v21_zero_shot_cot_αβ,αβ,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v21_zero_shot_cot_αβ,,,,
45,tokens_geom_only_token_gemma27b_n11,v9_lista_completa_meio_△○,△○,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v9_lista_completa_meio_△○,,,,
46,tokens_geom_cot_gemma27b_n11,v21_zero_shot_cot_△○,△○,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v21_zero_shot_cot_△○,,,,
47,tokens_math_only_token_gemma27b_n11,v9_lista_completa_meio_⊕⊖,⊕⊖,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v9_lista_completa_meio_⊕⊖,,,,
48,tokens_math_cot_gemma27b_n11,v21_zero_shot_cot_⊕⊖,⊕⊖,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v21_zero_shot_cot_⊕⊖,,,,
49,tokens_pq_only_token_gemma27b_n11,v9_lista_completa_meio_pq,pq,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v9_lista_completa_meio_pq,,,,
50,tokens_pq_cot_gemma27b_n11,v21_zero_shot_cot_pq,pq,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v21_zero_shot_cot_pq,,,,
51,tokens_latin_only_token_gemma27b_n11,v9_lista_completa_meio_łþ,łþ,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v9_lista_completa_meio_łþ,,,,
52,tokens_latin_cot_gemma27b_n11,v21_zero_shot_cot_łþ,łþ,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v21_zero_shot_cot_łþ,,,,
53,tokens_yesno_only_token_gemma27b_n11,v9_lista_completa_meio_yesno,yesno,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v9_lista_completa_meio_yesno,,,,
54,tokens_yesno_cot_gemma27b_n11,v21_zero_shot_cot_yesno,yesno,11,1,gemma-3-27b-it,pendente,,,,gemma-3-27b-it,11,1,0.0,v21_zero_shot_cot_yesno,,,,
